reviewContent,ground_truth_aspects
আমি খুব খুশি। ৫ টাকার অর্ডারে এত কিছু পেয়েছি। বক্স টা অনেক ভালো ছিল।  তেল  ফ্রি  দিয়েছিলো। বিক্রেতার আচরণও ভালো ছিল এবং দ্রুত ডেলিভারি পেয়েছি ☺☺,"delivery, packaging, seller, price"
"ভালো অবস্থায় পেয়েছি। ☺️💝
",packaging
"ভালো, মাত্র ৫ টাকায় পাইসি। পিকআপ পয়েন্ট থেকে পেয়েছি। সব মিলিয়ে ভালো 😜😜","service, price"
৪ টাকা পিস হিসাবে পেয়েছি। সাথে ৪ টা ওয়াইপস গিফট পেলাম। ধন্যবাদ সেলার এবং দরাজমল কে।,"seller, price"
"প্যাকেজিং খুব ভালো, দ্রুত ডেলিভারি। ধন্যবাদ দারাজ... ধন্যবাদ ডেলিভারি ম্যান।","delivery, packaging, rider"
একদম ছবির মতই পেয়েছি। ধন্যবাদ  সেলার কে,"seller, product"
খুব ভালো গুণগত পণ্য। দারাজ এবং বিক্রেতার জন্য ধন্যবাদ। বিক্রেতা সুপারিশ করা হলো 😊,"product, seller"
"গুণে, মানে, স্বাদে - দারূণ এক মশলা! মেয়াদ অল্প রয়েছে। জুলাই মাস পর্যন্ত।","product, shelf"
ঠিকমতো পেয়েছি। এই জিনিস ব্যবহারে খাবারের স্বাদে আসলেই ম্যাজিক দেখা যায়।,product
৫ টাকার প্রোডাক্টে ২০০ টাকার পন্ডস ক্রিম। অবিশ্বাস্য 😍😍💞💞💞💞💞💞,product
অসাধারণ অনেক তারাতারি পেয়েছি সব কিছু মিলিয়ে অনেক ভালো ধন্যবাদ দারাজ❤️,"delivery, service"
maggi মসলা বরাবরের মতোই আমার পছন্দ। অর্ডার করার পরের দিনেই পেয়ে গেলাম।,"product, delivery"
ভালো পণ্য এবং অরিজিনাল পণ্য 💖,product
ভালো ছিল ঠিক মত পাইছি।সেলার ভালো মানুষ।রাইডার অনেক ভালো ঠিকমতো দিয়ে যায়।দারাজে সবকিছু কম দামে পাওয়া যায় তাই দারাজ ভালো লাগে।এগিয়ে জাও দারাজ।অনেক দিন পর রিবিউ দিলাম।সুন্দর লাগছে।,"seller, rider, product, service"
ভালো ছিল ঠিক মত পাইছি।সেলার ভালো মানুষ।রাইডার অনেক ভালো ঠিকমতো দিয়ে যায়।দারাজে সবকিছু কম দামে পাওয়া যায় তাই দারাজ ভালো লাগে।এগিয়ে জাও দারাজ।অনেক দিন পর রিবিউ দিলাম।সুন্দর লাগছে।,seller
"সময় মত ডেলিভারি পেয়েছি, প্যাকেজিং ঠিক ছিল। ভালই মনে হয়েছে, কোন ছেড়া ফাটা ছিল না। এখনও খেয়ে দেখিনি, জানি আগের মতই সাদ হবে। ধন্যবাদ দারাজ সেলার ও (বিকাশ/নগদ)।","delivery, packaging, product, seller"
৫ টাকার পণ্য এবং তার সাথে ২টি গিফট দেবার জন্য  ধন্যবাদ। এই রকম গিফট পেলে কাশটোমার  পণ্য কেনার জন্য বেশি আগ্রহী হবে।,"price, service"
দারাজ মলের প্রোডাক্ট মানেই জাদু! সুন্দর ভাবে প্যাক করার সাথে আছে ইনাফ এক্সপায়ারি ডেট। ডেলিভারি ফ্রি দেওয়ার জন্য ধন্যবাদ,"delivery, packaging"
ঠিকঠাক মতো পাইছি ভালো হবে কিনা বলতে পারছিনা ব্যবহার করার পরে বলতে পারব যদি দেখি ভালো হয় তাহলে আবার অর্ডার করবো,"delivery, product"
"মাত্র ২ দিনেই ডেলিভারি🔥
অসাধারণ প্যাকেজিং 😊
দারাজ ভাউচার + বিকাশ ক্যাশব্যাক + কয়েন ভাউচার সবকিছু মিলিয়ে অনেল কম দামেই পেলাম 😌 আলহামদুলিল্লাহ 

ধন্যবাদ দারাজ ও সেলার💖💖","delivery, packaging, price, seller"
সয়াবিন তেলের সাথে অর্ডার দেওয়া ৪ প্যাকেট।ডেলিভারি চার্জ কমানোর জন্য।কিন্তু পেলাম ২ প্যাকেট☹️তারপর ও আমি হ্যাপি ।ধন্যবাদ দারাজ🥰🥰,service
"প্যাকিংও ভালোভাবে করেছে, খুব জলদি প্রোডাক্টটি পেয়েছি আলহামদুলিল্লাহ। দারাজ কে ধন্যবাদ 🖤 প্রোডাক্টের সাথে গিফট দেওয়ার জন্য। আপনারা নিতে পারেন নিশ্চিতভাবে। 😌🌸।","delivery, packaging"
"অবশ্যই প্রয়োজনীয় আইটেম। আমি ১০টি অর্ডার করেছিলাম কিন্তু আমি শুধু ০৮টি পেয়েছিলাম, তাই শুধুমাত্র এই কারণে আমি ০৩ স্টার দিচ্ছি। প্রোডাক্টের গুণগতমান ভালো। প্যাকেজিং খারাপ ছিল। 

আপডেট পোস্ট: দারাজ দ্বারা সমস্যা সমাধান করা হয়েছে এবং তাই, এখন রেটিং ৪ স্টার।","product, packaging, service"
মাশ‌আল্লা কি বলবো এতো সুন্দর পেকেজিং আর কি যত্ন করে পাঠিয়েছে সেলার ভাইকে অসংখ্য ধন্যবাদ ।ভাল থাকবেন দোয়া রইল।,"packaging, seller"
আপনাদের ফ্রেশ  পণ্য প্রদান করার জন্য অত্যন্ত ধন্যবাদ.....😊😊 অরিজিনাল  পণ্য....... ভালো গুণগতিসম্পন্ন পণ্য.....💙,product
ভালো প্যাকেজিং। ভালো পণ্য।,"product, packaging"
ঠিকঠাক পেয়েছি সময় মতোই ডেলিভারি পেয়েছি ধন্যবাদ দারাজ ও সেলারকে,"delivery, seller"
দেখতে ভালো লাগছে। তবে অন্য পণ্যগুলি নিয়ে অত্যন্ত হতাশ।  আমি আর  এই দোকান থেকে কিনতে চাই না।,"product, seller"
১০টি পিস অর্ডার করছিলাম! সব ঠিক ঠাক। তারিখও ঠিক ছিল এবং প্যাকেজিংও ভালো ছিল 🖤 সুপারিশ করা হলো।,"packaging, product"
প্রোডাক্ট প্যাকেজিং ও মেয়াদ দুটাই ঠিকঠাক মত পেয়েছি। ধন্যবাদ,"packaging, shelf"
একেবারে বাজে সার্ভিস । ছেঁড়া প্যাকেট দেয় না ভালো প্যাকেট দেয় একটু খেয়াল ও করেন এরা 😡😡,"service, packaging"
চমৎকার ম্যাগি মসলার সাথে লিকুইড রিন ফ্রী। সুন্দর লাগছে।,product
"২টা অর্ডার করসিলাম,সাথে ৫টা ৩টাকার শ্যাম্পু ফ্রি পেলাম।১০টাকার অর্ডারে ১৫টাকা ফ্রি😛",price
"বিক্রেতা আমাকে কেবল ৩টি পিস দিল, তবে আমি ৩ প্যাকেট কিনেছিলাম ৬X৩=১৮টি পিস। 15টি পিস অনুপস্থিত বা পাঠানো হয়নি।","service, seller"
"ঘোড়ার ডিম দিছে ভাবছিলাম কিছু একটা ফ্রি পামু,,দুরু",service
"প্যাকেজিং অসাধারণ ছিলো, আর ডেলিভারি পেলাম মাত্র ১৬ ঘন্টায় ধন্যবাদ দারাজ ও সেলার 🙂","delivery, packaging, seller"
"অর্ডার হলো ৬পিসের কম্বো ৩টি, কিন্তু আপনাদের সিঙ্গেল ৩টি দেওয়া হয়েছিল। আমার বাকি ১৫টি পিস অনুপস্থিত।",service
আলহামদুলিল্লাহ তেলটার ডেট এবং প্যাকিং সবই ঠিকঠাক আছে। ধন্যবাদ সেলার এবং দারাজ কে।,"packaging, seller,shelf"
খুব ভাল একটা মশলা।আলাদা ফ্লেভার এড হয়।ভালই!!,product
গিফটের জন্য বিক্রেতাকে ধন্যবাদ। কিন্তু আমি বুঝতে পারছি না  মেয়াদ শেষ হয়ে গেছে কিনা 🚫,"seller, shelf"
"১টাই কিনেছি কারন টেস্ট করে দেখার জন্য, ভালোই কিন্তু দাম ২/৩ টাকা হওয়ে উচিত","product, price"
"পণ্যগুলি চার মাসের মধ্যে মেয়াদ শেষ হবে, একটু উপযোগী পণ্য প্রত্যাশা করছিলাম।","product, shelf"
ভালো ছিলো। কিনতে পারেন মজা আছে। দাম আরো একটু কম হলে আরো ভালো হতো। ❤️,"product, price"
প্রোডাক্টিভ ভালোই মেয়াদও আছে অনেকদিন।,"product, shelf"
ভালো প্রোডাক্ট... সব ঠিক আছে... বিক্রেতা সেরা... আবার কিনতে চাই... ধন্যবাদ দারাজ।,"product, seller"
৫ টাকা ম্যাগি মসলা... খুব ভালো 😊😊😊,"product, price"
যেমন অর্ডার তেমন পণ্য। ভালো খারাপ না।,product
৫০ টাকার ভাউচার ছিল।  নিলাম ১০ টা।  এককথায় বলতে গেলে ফ্রি তে পেলাম। 😍,price
"ধন্যবাদ বিক্রেতা ও দারাজ যাদের দ্বারা আমাকে ভালো গুণগতিসম্পন্ন পণ্য প্রদান করা হয়েছে ✅

সুপারিশ করছি ✅","product, seller"
শাদ ই ম্যাজিকের জন্য ভালো প্যাকিং ছিল।,packaging
"ভালো জিনিস পেলাম,ধন্যবাদ দারাজ এবং সেলার কে,আসা করি সবসময় এমন থাকবে ","product, seller"
"ভালোই 😊
প্যাকেজিংটা দারুণ ছিল 🥰",packaging
যেমনটা চেয়েছি ঠিক তেমনটাই পেয়েছি দারাজ এবং সেলারকে অসংখ্য ধন্যবাদ।,"seller, product"
"আলহামদুলিল্লাহ, পন্যটি সঠিক সময়ে পেয়েছি, প্যাকেজিং খুবই ভালো ছিল।","delivery, packaging"
"ভালো আছে প্যাকেজিংটা ও অনেক ভালো ছিল, ধন্যবাদ এটা ৩ টাকায় দেবার  জন্য।","packaging, price"
ওহ! আমি খুবই খুশি। সাথে  গিফট  ও আছে... গিফটের জন্য ধন্যবাদ।,service
ধন্যবাদ বিক্রেতা ও দারাজ যাদের দ্বারা আমাকে ভালো গুণগতিসম্পন্ন পণ্য প্রদান করা হয়েছে ❤️❤️❤️,"product, seller"
মসলা গুলো অনেক ভালো। মেয়াদ শেষ হওয়ার  অনেক  বাকি দিন আছে। ধন্যবাদ দারাজ।,"product, shelf"
খুবই স্বাদ  স্বাদে  ই ম্যাজিক।,product
"প্যাকেজিং টা অসাধারণ 🔥
ধধন্যবাদ দারাজ, ধন্যবাদ সেলার 🙂🙂","packaging, seller"
অত্যন্ত ভালো অরিজিনাল পণ্য যেগুলোর মেয়াদ অনেক দীর্ঘ। ধন্যবাদ দারাজ।,"product, shelf"
ম্যাজিক মসলা আজ পেয়েছি আশা করি ভালো হবে সবাই নিতে পারেরন,product
"অসাধারণ, বরাবরের মতই ফাস্ট ডেলিভারি .  টেস্ট এ সেরা ","product, delivery"
খুব সুন্দর পণ্য। খাবার  খুব সুস্বাদু  করে তুলে ।,product
শুধুমাত্র ১ দিনেই ডেলিভারি পেলাম। বিক্রেতা এবং দারাজ দলের জন্য ধন্যবাদ।,"delivery, seller"
অর্ডার করেছিলাম ৪টা। পেলাম ৩টা। আরেকটা কেমনে pabo?,service
ভালো একটা মসলা নিতে পারেন এটার সম্পর্কে বলার কিছুই নেই,product
সেলার শুধু একটা পেকেট দিসে।বাকি ৫টা দেয় নি।কারণ জানবেন,"service, seller"
স্বাদটা খারাপ না 🥰,product
ফাস্ট ডেলিভারি আর খুবই ভালো সবকিছু। ধন্যবাদ দারাজ।,"service, delivery"
"""ধন্যবাদ ভাইয়া, সব কিছু ঠিক ঠাক ছিল।""","service, seller"
ভালো পণ্য পেয়েছি। ছাড়ের  জন্য ধন্যবাদ।,"product, price"
নুডুলস আর মসলা একসাথে কিনে rin লিকুইড ফ্রি পেলাম,service
৩ পিস অর্ডার দিয়ে এক পিস পেলাম। তাও লিক প্রোডাক্ট,"product, service, packaging"
তাঁজা পন্য ২৩ সালের মাঝামাঝি পর্যন্ত মেয়াদ আছে,"product, shelf"
১০ প্যাক নিলাম।  আগেও নিয়েছি। সুপার ডেলিভারি ।,delivery
"২ পিস অর্ডার করেছিলাম, কিন্তু মাত্র ১টি ডেলিভারি পেয়েছি 😭😭😵😵",service
"""ভালো পণ্য 👍 বিক্রেতার এবং দারাজের জন্য ধন্যবাদ 🥰""","product, seller"
সন্তোষজনক মেয়াদ  সহ ভালো পণ্য।,"product, shelf"
জিনিসটা ভালো। আরো ভালো হতো যদি এতে স্টিকার না থাকত।,product
মাত্র ৫ টাকা দামের সবজির মশলা । খুবই ভালো,"product, price"
অবশেষে  আমি খুশি... ধন্যবাদ দারাজ এবং বিক্রেতাকে।, seller
পণ্য  ঠিকঠাকমত পেয়েছি। মেয়াদ ও ঠিক আছে।,"product, shelf"
কিনবেন না । তারা খারাপ পণ্য দিয়েছেন।,"product, service"
"তাড়াতাড়ি ডেলিভারি পেয়েছি, প্যাকেজিং ভালো ছিল।","delivery, packaging"
সুন্দর... সবাই নিতে পারেন... ভালো লাগলো।,product
গিফট করার জন্য ধন্যবাদ। অবিশ্বাস্য পণ্য।,"product, service"
সেলার খুবই সুন্দর করে প্যাকেট করেছেন,"packaging, seller"
ভালো পণ্য। সুপারিশ করা হচ্ছে। ধন্যবাদ।,product
দারাজ মার্ট এখন গুনগত মানসম্পন্ন।,service
ভালো পণ্য এবং সন্তুষ্ট।,product
পেয়েছি। ডেলিভারি অত্যন্ত দ্রুত ছিল।,delivery
"আলহামদুলিল্লাহ
মেয়াদ ও আছে অনেক।",shelf
গিফট দেবার জন্য ধন্যবাদ,service
ভালো প্রোডাক্ট । দ্রুত ডেলিভারি,"product, delivery"
"অসাধারণ পন্য, ধন্যবাদ সেলারকে।","product, seller"
স্টিকার ছাড়া কবে পাব কে জানে🙄,product
ভালো প্রোডাক্ট  ধন্যবাদ  দারাজকে.,product
খুব ভালো মসলা।2য় বার নিলাম।,product
ধন্যবাদ নেসলে এবং দারাজকে।,seller
অনেক ভাল। চাইলে নিতে পারেন।,product
আমি জানি  এটার স্বাদ ভালো 😊💜,product
১২৳ দিয়ে তিন পিস নিলাম।।,price
সব ঠিক ঠাক ই পেয়েছি,service
ম্যাগি মানেই খুবই ভালও,product
মজা ইয়াম্মি থ্যাঙ্ক ইউ দারাজ,product
ভালও হইসে . মোটা মটি,product
ভালই ছিল সব কিছু।,service
ছিরা প্যাকেট,packaging
সময় মতো পেয়েছি।ভালো।,delivery
অরিজিনাল প্রোডাক্ট,product
"নাইস  প্রোডাক্ট  😍😍.
",product
সবকিছুই ঠিকঠাক ছিল,service
প্যাকেজিং ভালও  ছিল,packaging
প্যাকেট ছিঁড়া।,packaging
ভালো পণ্য❤️,product
"ওয়াও😱😱😱
সুন্দর একটি আইটেম দিয়েছেন সেলার 🥀💗🥀
সেলারকে অসংখ্য ধন্যবাদ 🥰🥰
সেই সাথে দারাজ টিমের প্রতি ভালো বাসা রইল 🤭🤭","product, seller"
সুন্দর প্যাকেজিং। দ্রুত ডেলিভারি। ভালো পণ্য। মেয়াদ শেষ হওয়ার তারিখ পর্যাপ্ত। ডেলিভারি ম্যানের আচরণও ভালো। ধন্যবাদ।,"product, delivery, packaging, rider, shelf"
ভালো পন্য। ঠিক সময় মত পেয়েছি।,"product, delivery"
মোট ৫ টি আইটেম এর পেকেজ দিয়েছিলাম কিন্তু ১ টি আইটেম কম দিয়েছে।,service
গুণমান আমার প্রত্যাশার মতোই! এবং বাজারের চেয়ে কম দাম!,"product, price"
৩ টাকা দাম পড়েছে কিন্তু বর্তমান স্বাদ এবং পরিমাণ অনুযায়ী দাম এটাই হওয়া উচিত।,price
মেয়াদ নাই,shelf
সময়মতো দেওয়ার জন্য ধন্যবাদ।,delivery
ভালো একটা গিফট দিয়েছে।,service
একদম হুবহু একই প্যাক।,product
"ভালো, কিন্তু আমার আগে যারা প্রোডাক্ট নিয়েছে, তারা দেখলাম ফ্রি ফেস ওয়াশ পেয়েছে। কিন্তু আমি পাইনি 😭","service, product"
খুব ভালো গুণগতমানের পণ্য। ধন্যবাদ দারাজ এবং বিক্রেতাকে। বিক্রেতার সুপারিশ করছি 😊,"product, seller"
"আমি দারাজের নিয়মিত গ্রাহক, কখনো দারাজ আমাকে নিরাশ করে নাই, এবারও তাই, সব কিছু ঠিকঠাক আছে। আপনারা চোখ বন্ধ করে নিতে পারেন।","product, service"
"আজ অর্ডার করে আজই ডেলিভারি পেলাম। থ্যাংস টু দারাজ। প্যাকজিং খুবই সুন্দর ছিল। প্রোডাক্ট কোন প্রকার সমস্যা ছিল না। হুপফুল্লি এইভাবে দারাজ কার্জকর্ম চালিয়ে যাবে। সেলার ভালো প্রোডাক্ট ডেলিভারি করছে। সেলার
কে থ্যাংস","product, delivery, packaging, seller"
"সময়মতো শিপিং, ভালো প্যাকেজিং এবং সময়মতো ডেলিভারি। আসল পণ্য সরবরাহ করার জন্য ধন্যবাদ বিক্রেতা এবং দারাজ।","product, delivery, packaging, seller"
"আমি এটা এক্সপেক্ট ই করি নাই যে তারা আমাকে মাত্র ৯টাকার ম্যাজিক মসলার সাথে ২টা রিন লিকুইড স্যাশে হাদিয়া দিয়ে দিবে... জাযাকাল্লাহ খইর...
❤️❤️","service, price"
"আলহামদু লিল্লাহ, শ্রদ্ধেয় সেলার ভাই আমায় এইটিয় শিক্ষা দিলেন , সততা ও ভোক্তার তুষ্টিই হলো একজন বিক্রেতার সর্বোচ্চ প্রশান্তি 💌 পণ্যের গুনে ও মানে আমি পূর্ণ সন্তুষ্ট। সেলার ভাই অত্যন্ত বিনয়ী ও আন্তরিক।🌹🌹 তার বেবহার অত্যন্ত মিষ্টি এবং তার রেসপন্স যথেষ্ট ভালো।💯🔥 তার রুচিবোধ প্রসংশার দাবি রাখে।❤️❤️ এত বিশ্বস্ত ও নীতিবান মানুষের জন্যই আল্লাহর দয়ায় আজও Daraz এর সুনাম বহাল রয়েছে ❤️‍🔥❤️। অনেক দোয়া রইলো তাদের জন্যে। জাযাকাল্লাহ।💕","product, seller"
"ভালো অফার, ভালো সেবা। গ্রোসারি এর জন্য দারাজ সবসময় ভালো । আমার পরিবার দারাজ কে সব ধরনের আইটেমের জন্য পছন্দ করে। স্পেশালি গ্রোসারি এর জন্য। আপনাদের বিশ্বাসযোগ্য সেবার জন্য ধন্যবাদ DMART।",service
আমি এই শ্যাম্পু ব্যবহার করার পর একটি পর্যাপ্ত রিভিউ দিচ্ছি। প্রায় একমাস ধরে ব্যবহার করলাম। এটি একটি সত্য রিভিউ। মোবাইল থেকে পুনরায় পরীক্ষা করার পরও QR কোড পাওয়া যায়নি।,product
আমি ৬টির কম্বো প্যাকেজের ২টি প্যাকেজ অর্ডার করেছিলাম। দারাজ শপ আমাকে সিঙ্গেল ২টা প্যাকেট ডেলিভারি করেছে। এর প্রতিকার চাই। এটা দারাজ শপ হতে একদম আশা করিনি। ডিজগাস্টিং।,service
আলহামদুলিল্লাহ অনেক ভালো প্রোডাক্ট হাতে পেয়েছি। এতটা ভালো হবে ভাবতেও পারিনি। ধন্যবাদ সেলার এবং দারাজ কে। এতো ভালো প্রোডাক্ট  দেওয়ার জন্য। দোয়া রইল আপনাদের জন্য। এবং এভাবে শততার শহীত ব্যবসা করে যান ইনশাআল্লাহ আল্লাহ আপনাদের সাথে থাকবেন। রাইডারের ব্যবহার এবং তার আচার-আচরণ অসম্ভব ভালো। সবার জন্য বলছি সবাই নিতে পারেন নিঃসন্দেহে ১০০% রিকমান্ডেড।,"product, seller, rider"
"অর্ডার দেয়া ৬ পিসের জায়গায় দিয়েছে ১ পিস।
যিনি প্যাকেজিং করেছেন তিনি চরম গাফিলতির পরিচয় দিয়েছেন।
এবং কমপ্লেইন করলে অস্বীকার... তারা নাকি সব ঠিকমত দিয়েছে!! ","service, packaging"
"6পিসের কম্বো অর্ডার করেছিলাম ম্যাগি শাদ ম্যাজিকের, কিন্তু ডেলিভারি পেলে দেখলাম মাত্র ২টি পিস। তবে টাকা প্যাকেট পেয়েছি আমি। এটা খুবই হতাশাজনক 😪",service
এটা একটা বাজে রাইডার ।।কাস্টমার এর কম টাকার পারছেল ডেলিভারি করে পারসেল দেই না।।এরা কি গাঞ্জা খেয়ে কাজ করে ।।,rider
"আমি দারাজ থেকে আগে ও অনেক গুলো অর্ডার করেছি, কিন্তু এই পথম দারাজ আমাকে ১প্যাকেট কম দিলো,ওয়াডার করেছি ৪প্যাকেট দিয়েছে ৩ প্যাকেট,বাকি সব ঠিক ছিলো, খুব হতাশ হলাম।",service
৫ টাকা করে পড়েছে প্রতি পিস বাহির থেকে এই দামে কেনা যায় দ্বারাজ থেকে যদি কিছু কম না পাই তাহলে লাভ কি আমি দশ প্যাকেট নিয়েছিলাম,price
Just awesome!! তবে দাম আর একটু কম হলে ভালো হতো। ৩ টাকা প্যাকেট  হলে ভালো হতো একসাথে  অনেকগুলো নিতাম।,"product, price"
"একটা বক্সে পাঠাইছে এটা সন্তুষ্ট হতে পারিনি, অন্যান্য দারাজ মলের গ্রোসারি আইটেমগুলোর সাথে পাঠাইতে পারতো। সেই দাম ৫ টাকায় ছিলো","packaging, price"
অল্প দামে ভালো পণ্য। তবে এর মাঝখানে দারাজের কমিশন সেলারের লাভ প্যাকিং খরচ এসব কিছুর পরেও কম দামে বিক্রি করতেছে। তাহলে দোকান থেকে সরাসরি কাস্টমারদের কে কম দামে দিলেই ত পারে।,"product, price, service"
১০০% সঠিক এবং উন্নতমানের পণ্য। কিন্তু ফ্রী milo টা আমাকে দেওয়া হয়নি। অবশ্য প্যাকেজিং এ একস্থানে ছেঁড়া ছিল।,"product, packaging"
"দ্রুত ডেলিভারি পেয়েছি, প্রোডাক্ট নিয়ে কোন কথা হবে না 😊😊😊  
তবে সারপ্রাইজ গিফটের আশায় থাকা আমার মেয়ে হতাশ 🙈😜
recommended 👍👍👍","product, delivery"
আমি  অবাক। প্রতিটি প্যাকেটে মাসালার পরিমাণ স্থানীয় বাজার থেকে কিছু কম। এটা একধরনের প্রতারণা!,product
প্যাকেজিং খুব খারাপ... ছোট বক্সে দেওয়ার জন্য পণ্যগুলি ক্ষতিগ্রস্ত হয়ে যায়... আমি আজ আমার পণ্যটি গ্রহণ করলাম... আমি কি বলবো 😞 ডুমরে মুচরে গেছে আমার প্রোডাক্টটা... ছোট বক্সে যা থাকবে না সেটা বোঝার পরেও যোরে ধুকিয়ে দিয়েছে... এখন কি করব? কোপাল করাপ আমার 😭😭, packaging
"আসল  পণ্য, স্বাদ ভালো। প্যাকেজিংটা ভালো ছিল না, কিন্তু পণ্যটা ঠিক ছিল। সুতরাং আমি খুশি। সবার জন্য সুপারিশ।","product, packaging"
"সব ঠিক ঠাক পেয়েছি, কিন্তু খুব খারাপ প্যাকেজিং, আমি মনে করছিলাম কিছু মিসিং  পাবো (খারাপ প্যাকেজিং)। ধন্যবাদ দারাজ এবং ধন্যবাদ বিক্রেতা ভাই।","packaging, seller"
"ম্যাগি সর্বদা আমার প্রিয় খাবার জিনিস। পণ্যটি ভালো, প্যাকেজিং ভালো, মেয়াদ ঠিক। তাই, ম্যাগি সম্পর্কে কিছু বলতে চাই না। ম্যাগি সর্বদা অসাধারণ পণ্য।","product, packaging, shelf"
"ম্যাগী স্বাদ এ ম্যাজিক ।।
নতুন করে কিছু বলার নাই।।।
রেকমেন্ডেড। অসংখ্য ধন্যবাদ দারাজ এবং সেলার কে..","product, seller"
একেবারে চমৎকার পণ্য। ছবির মতোই একদম সঠিক। আমি সত্যিই এটি পছন্দ করেছি। ধন্যবাদ দারাজ ও বিক্রেতা ❤️🇧🇩,"product, seller"
ধন্যবাদ আজ   ম্যাজিক মসলাটি পেয়েছি সাথে একটি গিফট দিয়েছেন অসংখ্য ধন্যবাদ দারাজ ছেলার কে 🥰💐💐,"service, seller"
সুন্দর প্যাকেজসহ যা অর্ডার দিয়েছিলাম সেটাই পেয়েছি। ধন্যবাদ দারাজ এমন অনলাইন সুপারমার্কেট এর জন্য,"packaging, product, seller"
পণ্যটি ভাল অবস্থায় পেয়েছি। এর স্বাদও ভাল। ডিসকাউন্ট দামের জন্য বিক্রেতাকে  ধন্যবাদ।,"packaging, seller, price, product"
"আসসালামু আলাইকুম,
ভালো এবং ছবির মতো।
এত সুন্দর...
আমি সন্তুষ্ট... ধন্যবাদ দারাজ এবং বিক্রেতাকে।","product, seller"
সরি!  আমি পার্সেল টি পেয়েছি। এবং রাইডারের ব্যবহার ও অনেক ভালো ছিলো। সব কিছু মিলিয়ে অসাধারণ 🥰,"rider, service"
"সব কিছু ঠিক ঠাক পেয়েছি, খুব ভালো পণ্য। আপনারা চাইলে নিতে পারেন। বিক্রেতাও খুব ভালো।","product, seller"
"দ্রুত শিপিং ।
ভালো পণ্য।
সত্যিই অসাধারণ
এই বিক্রেতার থেকে আরো কিছু কিনতে ইচ্ছুক।","product, seller"
অনেক কম দামে পেয়েছি। এত দ্রুত ডেলিভারি পেয়ে খুশি হয়েছি। অনেক বেশি সন্তুষ্ট।,"delivery, price"
"আলহামদুলিল্লাহ,
বিকাশ ক্যাশব্যাক ও ভাউচার দিয়ে পাইকারী বাজারের থেকেও অনেক কম দামে পেলাম।",price
আসল পণ্য পেয়েছি যার মেয়াদ পর্যাপ্ত। বিক্রেতাকে ধন্যবাদ।  সুপারিশ করা হয়।,"product, seller, shelf"
"পণ্যের সাথে ফ্রি মিনি কন্ডিশনার পেয়েছি, দারাজ এবং বিক্রেতাকে ধন্যবাদ। পণ্যটি ও ভালো।","product, service, seller"
এই অডারের অন্যান সব প্রডাক্ট ঠিকঠাক পেয়েছি কিন্তু মসলাটা পাই নাই! এটা খুবই হতাশা জনক।, service
সত্যিই বিক্রেতাটি খুব ভালো। এবং প্যাকেজিংটি খুব ভালো ছিল। ধন্যবাদ দারাজ এবং বিক্রেতাকে।,"packaging, seller"
"পণ্যটি ভালো ছিল । 
দ্রুত ডেলিভারি দিয়েছে । 
প্যাকেজিং ভালো ছিল। 
বিক্রেতাকে ধন্যবাদ","product, delivery, packaging, seller"
দারাজ মলের প্রোডাক্ট ৯৯% ভালো থাকে সবসময়।এখনো কোন প্রবলেম হয় নাই।একদম আসল প্রোডকক্ট।,"product, service"
"""আমার পণ্যগুলি পাইনি, তবে ডেলিভারি আপডেট করা হয়েছে, কিন্তু এটা মিথ্যা ডেলিভারি আপডেট।"""," service, delivery"
"এর আর নতুন করে রিভিউ দেয়ার কিছু নাই। মেয়াদ ছিলো ভালোই। স্বাদ তো সবাই ই জানে, জোস👌","product, shelf"
"কয়েকটা প্যাকেট ভেঙে গুড়া গুড়া হয়ে গেছে।
প্যাকেজিং আরো ভালো হওয়া উচিত ছিলো।",packaging
ডেলিভারি ম্যান প্রোডাক্ট দেয়নি। কিন্তু রিসিভ দেখাচ্ছে। এটা কোন ধরনের ফাজলামি।,"service, delivery"
কয়েকটা পণ্যের সাথে একপিস স্বাদ এ ম্যাজিক অর্ডার ছিল।তবে বক্স খুলে পণ্যটা পাইনি, service
পণ্যটি অরিজিনাল। বাজারের মূল্যের চেয়ে অনেক কম দামে পেয়েছি। 😊😊 ধন্যবাদ দারাজ।,"product, price"
খুব সুন্দর প্রডাক্ট আপনারা সবাই নিতে পারেন ধন্যবাদ দারাজকে আর ধন্যবাদ ছেলারকে,"product, seller"
আলহামদুলিল্লাহ ভালো জিনিস। সেই সাথে ধন্যবাদ জানাই দারাজ কে গিফ্ট দেওয়ার জন্য।,"product, service"
পণ্যটি ভাল অবস্থায় পাওয়া গেছে। ধন্যবাদ দারাজ এবং বিক্রেতাকে ভাল পণ্য দেওয়ার জন্য।,"product, packaging, seller"
"পণ্যটি ছবির মতোই এবং গুণগতি ভালো ছিল, এবং ডেলিভারি দ্রুত ছিল।","product, delivery"
আসল পণ্য। বাজারের চেয়ে কিছুটা কমে পেয়েছি। দারাজকে অনেক ধন্যবাদ।,"product, price"
খুব ভালো লেগেছে কেনাকাটা। dMart পণ্যের সাথে কোনো সমস্যা নেই এবং কোনো অভিযোগ নেই।,product
"অনেক ভালো পণ্য।
বিক্রেতা সুন্দর ভাবে প্যাকেট করেছেন। এককথায় অনেক ভালো।","product, packaging, seller"
